rank,school,grades,district,number_of_students,student_teacher_ratio,2017_rank,rank_change,fulltime_teachers,free_disc_lunch,avg_test_score,white,black,hispanic,asian,american_indian,pacific_islander,biracial,expected_test_score
1,Cascadia Elementary,K-5,Seattle School District,754,20.8,1,NA,36,0.039,0.986,0.684,0.005,0.028999999999999998,0.129,0,0.001,0.151,0.8380951697437756
2,Cedar Wood Elementary,"PK, KG-5",Everett School District,719,20,10,8,36,0.096,0.986,0.488,0.019,0.085,0.32299999999999995,0.001,0.003,0.081,0.8708424624962086
3,Medina Elementary School,"PK, KG-5",Bellevue School District,543,20.2,5,2,27,0.017,0.982,0.387,0.002,0.040999999999999995,0.488,0,0,0.083,0.9294400365921583
4,Explorer Community School,1-5,Lake Washington School District,72,19.8,3,1,4,0,0.98,0.486,0,0.042,0.431,0,0,0.042,0.9284807713302418
5,Sunrise Elementary,"PK, KG-5",Northshore School District,418,18.7,9,4,22,0.024,0.9790000000000001,0.624,0.01,0.045,0.23,0,0,0.091,0.8772141169137532
6,Capt Johnston Blakely Elementary School,K-4,Bainbridge Island School District,342,17.2,4,2,20,0.047,0.978,0.848,0.003,0.032,0.02,0.015,0,0.08199999999999999,0.812793000051913
7,Rosa Parks Elementary,K-5,Lake Washington School District,649,19,15,8,34,0.02,0.975,0.361,0.018000000000000002,0.063,0.496,0.005,0,0.057,0.9282586560788878
8,Somerset Elementary School,K-5,Bellevue School District,722,19.5,7,1,37,0.051,0.975,0.184,0.006999999999999999,0.03,0.705,0,0,0.073,0.9516149693015152
9,Smith Elementary,K-5,Lake Washington School District,636,18.6,14,5,34,0.017,0.973,0.354,0.003,0.049,0.527,0.002,0,0.066,0.9353535686679498
10,Lakeridge Elementary School,K-5,Mercer Island School District,484,18.9,21,11,26,0.012,0.972,0.684,0.006,0.048,0.153,0.002,0,0.107,0.8588481983503765
11,Alcott Elementary,K-5,Lake Washington School District,803,20,13,2,40,0.044000000000000004,0.972,0.305,0.009000000000000001,0.042,0.6,0.001,0.001,0.040999999999999995,0.9423346566825196
12,McDonald International School,K-5,Seattle School District,457,17.8,84,72,26,0.039,0.972,0.6459999999999999,0.004,0.127,0.039,0,0,0.184,0.7782315755384794
13,Discovery School,K-5,Lake Washington School District,72,16.7,38,25,4,0.042,0.971,0.597,0,0.042,0.278,0,0,0.083,0.886304716646904
14,Blackwell Elementary,K-5,Lake Washington School District,535,17.1,16,2,31,0.021,0.97,0.495,0.006,0.067,0.37799999999999995,0,0,0.054000000000000006,0.9109263491737428
15,Mcauliffe Elementary,K-5,Lake Washington School District,533,17.4,20,5,31,0.032,0.97,0.542,0.011000000000000001,0.071,0.311,0,0.002,0.062,0.8927626308477074
16,Bear Creek Elementary,"PK, KG-5",Northshore School District,446,18.7,23,7,24,0.052000000000000005,0.968,0.617,0.004,0.063,0.233,0,0,0.083,0.8688514848087087
17,Discovery Elementary,"PK, KG-5",Issaquah School District,586,18.6,12,5,31,0.009000000000000001,0.9670000000000001,0.35200000000000004,0.01,0.07,0.503,0,0,0.065,0.9310091535966
18,Cherry Crest Elementary School,"PK, KG-5",Bellevue School District,564,18.8,6,12,30,0.027000000000000003,0.9670000000000001,0.35600000000000004,0.009000000000000001,0.03,0.532,0,0,0.073,0.935008020929194
19,Spiritridge Elementary School,K-5,Bellevue School District,674,19.9,24,5,34,0.086,0.965,0.332,0.021,0.059000000000000004,0.493,0,0,0.095,0.9110416719116542
20,Wilder Elementary,K-5,Lake Washington School District,609,18.9,11,9,32,0.02,0.9640000000000001,0.488,0.011000000000000001,0.07200000000000001,0.374,0.002,0,0.053,0.9090778509152778
21,Mill Creek Elementary,"PK, KG-5",Everett School District,676,20.2,54,33,33,0.11699999999999999,0.961,0.574,0.033,0.107,0.201,0,0.003,0.083,0.8222734842060649
22,Carson Elementary,"PK, KG-5",Lake Washington School District,457,18.4,51,29,25,0.024,0.961,0.5670000000000001,0.015,0.057,0.289,0,0,0.07200000000000001,0.8906747048010037
23,Capt. Charles Wilkes Elementary School,"PK, KG-4",Bainbridge Island School District,394,17.1,37,14,23,0.038,0.9590000000000001,0.853,0.003,0.055999999999999994,0.02,0,0,0.069,0.817606695079163
24,Mead Elementary,K-5,Lake Washington School District,629,19.4,19,5,32,0.03,0.956,0.5710000000000001,0.008,0.06,0.28300000000000003,0.002,0,0.076,0.8874853362275629
25,Cascade Ridge Elementary,K-5,Issaquah School District,544,17.4,29,4,31,0.006,0.956,0.45799999999999996,0.009000000000000001,0.053,0.381,0,0,0.099,0.9105979003965543
26,Rockwell Elementary,K-5,Lake Washington School District,631,19.7,17,9,32,0.035,0.9540000000000001,0.423,0.008,0.052000000000000005,0.441,0,0,0.076,0.9176226712713689
27,Fairmount Park Elementary School,"PK, KG-5",Seattle School District,522,18.5,35,8,28,0.138,0.953,0.64,0.055999999999999994,0.096,0.05,0.002,0.002,0.155,0.7346364673441816
28,Audubon Elementary,K-5,Lake Washington School District,594,19,31,3,31,0.034,0.953,0.392,0.006999999999999999,0.055999999999999994,0.49200000000000005,0,0,0.054000000000000006,0.9278597717254635
29,Bennett Elementary School,"PK, KG-5",Bellevue School District,418,16.5,40,11,25,0.065,0.95,0.507,0.031,0.06,0.321,0,0,0.081,0.8822392966170544
30,CAM Academy,3-12,Battle Ground School District,555,27.7,50,20,20,0.159,0.9490000000000001,0.8809999999999999,0,0.047,0.025,0,0,0.047,0.7742698957777393
31,Redmond Elementary,K-5,Lake Washington School District,723,16.1,62,31,45,0.147,0.948,0.299,0.024,0.113,0.479,0.001,0,0.084,0.8869163069980412
32,Cougar Ridge Elementary,K-5,Issaquah School District,577,18.1,34,2,32,0.016,0.946,0.47700000000000004,0.006999999999999999,0.052000000000000005,0.385,0.003,0,0.076,0.9119117582898206
33,Wedgwood Elementary School,K-5,Seattle School District,475,17.5,61,28,27,0.099,0.9440000000000001,0.56,0.023,0.09699999999999999,0.131,0,0,0.18899999999999997,0.7861317909206058
34,Hutton Elementary,"PK, KG-6",Spokane Public Schools,557,20.1,36,2,28,0.18899999999999997,0.9440000000000001,0.8240000000000001,0.023,0.057,0.013999999999999999,0.002,0,0.079,0.7358962693540848
35,West Mercer Elementary,K-5,Mercer Island School District,517,17.4,26,9,30,0.052000000000000005,0.9440000000000001,0.524,0.008,0.07200000000000001,0.261,0,0,0.135,0.8645662701202295
36,McGilvra Elementary School,K-5,Seattle School District,282,16.1,73,37,17,0.08900000000000001,0.943,0.6559999999999999,0.064,0.046,0.099,0,0,0.135,0.7950733355507598
37,Mann Elementary,K-5,Lake Washington School District,483,17.1,56,19,28,0.039,0.943,0.561,0.017,0.07,0.271,0.002,0,0.079,0.8788541130304617
38,Grass Valley Elementary,K-5,Camas School District,580,19.9,49,11,29,0.129,0.9420000000000001,0.7090000000000001,0.016,0.08800000000000001,0.095,0.002,0.005,0.086,0.7879211954166698
39,Endeavour Elementary School,K-5,Issaquah School District,672,17.9,53,14,37,0.07400000000000001,0.94,0.504,0.003,0.068,0.348,0.001,0,0.07400000000000001,0.8893680292162158
40,Dorothy Fox,K-5,Camas School District,471,18.3,41,1,26,0.102,0.94,0.722,0.013000000000000001,0.07400000000000001,0.081,0.006,0,0.10400000000000001,0.7947389027828309
41,Lockwood Elementary,"PK, KG-5",Northshore School District,638,19.2,86,45,33,0.075,0.9390000000000001,0.625,0.022000000000000002,0.092,0.154,0.005,0.002,0.1,0.8248521431749822
42,Shelton View Elementary,"PK, KG-5",Northshore School District,530,19.9,22,20,27,0.113,0.9390000000000001,0.485,0.019,0.083,0.304,0.002,0.006,0.102,0.8566591288956085
43,Catharine Blaine K-8 School,K-8,Seattle School District,770,20.7,80,37,37,0.075,0.9390000000000001,0.736,0.021,0.06,0.043,0.005,0.004,0.131,0.7872025251157132
44,Emerald Hills Elementary,K-5,Sumner School District,446,16.2,48,4,28,0.278,0.938,0.733,0.011000000000000001,0.105,0.027000000000000003,0.011000000000000001,0,0.11199999999999999,0.6668508462253774
45,Island Park Elementary,K-5,Mercer Island School District,388,15.9,30,15,24,0.018000000000000002,0.938,0.644,0.01,0.052000000000000005,0.17,0,0,0.124,0.8571451740823215
46,Brookside Elementary,K-6,Shoreline School District,501,19.7,64,18,25,0.146,0.938,0.629,0.032,0.11,0.076,0.002,0.002,0.15,0.745686479993866
47,Maplewood Parent Coop,K-8,Edmonds School District,450,20.5,8,39,22,0.064,0.934,0.722,0.053,0.053,0.08,0,0.002,0.08900000000000001,0.8104810698229805
48,John Stanford International School,K-5,Seattle School District,431,18.2,33,15,24,0.07400000000000001,0.9329999999999999,0.501,0.012,0.158,0.128,0.009000000000000001,0,0.193,0.7806722107006255
